RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
5572,73952,SESSION RTD,HIGH NOON PASSION FRUIT  - RTD - 355ML (4-Pack),4pk,936,10.99,,
5573,41669,AMERICAN RED,DECOY NAPA VLY RED BLEND - 750ML,750ML,600,23.99,,
5574,333464,AMERICAN WHITE,HESS SHIRTAIL CREEK CHARD - 750ML,750ML,0,14.99,,
5575,89260,DOMESTIC RUM,CALYPSO SILVER RUM - 1.75L,1.75L,600,12.99,,
5576,72710,CHILE,CYT FRONTERA BUTTERY CHARD 750ML,750ML,2736,6.99,,
5577,23880,DOMESTIC BOTTLE BEER,SAM ADAMS WINTERLAGER 6PK - 12OZ NR - 12.0Z (6-Pack),6pk,192,10.99,,
5578,65374,SPARKLING,MARTINI & ROSSI ASTI - 1.5L,1.5L,498,28.99,,
5579,54060,TEQUILA,DON JULIO TEQUILA - 70TH ANNIVERSARY - 50ML (10-Pack),10pk,6960,99.99,,
5580,89289,AUSTRALIAN,YELLOW TAIL MOSCATO - 750ML,750ML,504,6.99,,
5581,340790,AMERICAN RED,NOBLE VINES 337 LODI CAB - 750ML,750ML,144,13.99,,
5582,28215,IMPORTED SCOTCH,GRANT'S SCOTCH - 1.75L,1.75L,264,29.99,,
5583,92451,SINGLE MALT SCOTCH,BALVENIE 18YR FRENCH CASK 750ML,750ML,0,376.99,,
5584,34940,TEQUILA,MONTEZUMA TEQUILA - BLUE - 1L,1L,996,10.99,,
5585,72389,AUSTRALIAN,JACOBS CREEK CHARD - 750ML,750ML,84,9.99,,
5586,13410,DOMESTIC NON ALCOHOLIC BEER,ATHLETIC RUN WILD NA 4/6 CANS - 12.0Z (6-Pack),6pk,6816,11.99,,
5587,30031,DOMESTIC GIN,ARISTOCRAT GIN - 1.75L,1.75L,300,14.99,,
5588,27367,SINGLE MALT SCOTCH,HIGHLAND PARK 12YR - 750ML,750ML,120,63.99,,
5589,357871,AMERICAN RED,MICHAEL DAVID PETITE PETIT - 750ML,750ML,408,17.99,,
5590,80687,AMERICAN WHITE,BAREFOOT CEL P/GRIG- BIB - 3L,3L,132,21.99,,
5591,27356,CIDERS,STRONGBOW GOLD CIDER 4/6 11.20Z NR - 11.2Z (6-Pack),6pk,3312,10.99,,
5592,89504,SPARKLING,WYCLIFF BRUT ROSE - 750ML,750ML,228,6.99,,
5593,84517,AMERICAN WHITE,CHLOE CHARDONNAY - 750ML (1 Bottle),750ML,816,13.99,11.99,46022
5594,298071,STRAIGHT RYE WHISKEY,BALLOTIN CHOCOLATE MINT WHISKEY 750ML,750ML,0,28.99,,
5595,77437,AUSTRALIAN,JACOBS CREEK MER 750ML,750ML,0,9.99,,
5596,22511,IMPORTED CAN BEER,HEINEKEN 24/12 SUITCASE CANS - 12.0Z,12.0Z,942,40.99,,
5597,70620,IMPORTED RUM FLAVORS,RUMHAVEN COCONUT CARIBBEAN RUM - 1.75L,1.75L,36,26.99,,
5598,348610,AMERICAN WHITE,CUPCAKE BUTTERKISSED CHARD - 750ML,750ML,276,13.99,,
5599,311322,AMERICAN RED,BLACK BOX CAB TETRA - 500ML,500ML,2088,3.99,,
5600,171869,ITALIAN RED WINE,SANTA CRISTINA TOSCANA ROSSO - 750ML,750ML,0,16.99,,
5601,80738,AMERICAN WHITE,BAREFOOT CEL S/BLC - 750ML,750ML,312,7.99,,
5602,369420,AMERICAN WHITE,LEESE FITCH CHARD - 750ML,750ML,0,14.99,,
5603,247806,STRAIGHT BOURBON WHISKEY,MR & MRS BOURBON WHISKEY (WHITE OAK) PREM QUALITY - 750ML,750ML,0,75.99,,
5604,30368,AMERICAN RED,WOODBRIDGE CAB 6/4 187ML PET CANS (4-Pack),4pk,1584,12.99,,
5605,89513,AMERICAN RED,MARK WEST CAL CAB - 750ML (1 Bottle),750ML,156,12.99,10.99,46022
5606,41009,COGNAC,COURVOISIER COGNAC VS - 750ML,750ML,804,38.99,,
5607,70529,TEQUILA,JOSE CUERVO TRADICIONAL SILVER TEQUILA 750ML,750ML,24,27.99,,
5608,234070,NEW ZEALAND,TOHU S/BLC - 750ML,750ML,24,19.99,,
5609,11844,IMPORTED VODKA FLAVORS,SVEDKA VODKA STRAWBERRY LEMONADE - 1.75L,1.75L,90,20.99,,
5610,54542,CANADIAN WHISKEY,CROWN ROYAL - CHOCOLATE - 750ML (1 Bottle),750ML,1860,31.99,24.99,46022
5611,70665,NON-ALCOHOLIC MIXERS,MASTER OF MIXES COCKTAIL ESS GRENADINE-NA - 375ML,375ML,1104,3.99,,
5612,361564,STRAIGHT BOURBON WHISKEY,PEERLESS SMALL BATCH BOURBON - 750ML,750ML,0,102.99,,
5613,362158,RED BURGUNDY WINE,LOUIS LATOUR P/NOIR DOM VALMOI - 750ML,750ML,0,23.99,,
5614,77725,MALT BASED SELTZER,WHITE CLAW VARIETY 24PK LOOSE CANS - 12.0Z,12.0Z,357,39.99,,
5615,574362,STRAIGHT BOURBON WHISKEY,PINHOOK BOURBON FLAGSHIP HP - 750ML,750ML,0,59.99,,
5616,35840,DOMESTIC VODKA,BOWMAN'S VODKA - 1.75L,1.75L,102,11.99,,
5617,3085,DOMESTIC BOTTLE BEER,YUENGLING LAGER 2/12 NR - 12.0Z (12-Pack),12pk,19968,13.99,,
5618,70378,AMERICAN RED,MEIOMI P/NOIR - 750ML,750ML,408,25.99,,
5619,43183,ITALIAN WHITE WINE,SANTA MARGHERITA PROSECCO 750ML,750ML,468,26.99,,
5620,234250,AMERICAN WHITE,STONESTREET ESTATE A/V CHARD - 750ML,750ML,0,44.99,,
5621,10637,SPARKLING,CUPCAKE PROSECCO - 187ML (3-Pack),3pk,288,13.99,,
5622,237260,ITALIAN RED WINE,TOLAINI AL PASSO RED - 750ML (1 Bottle),750ML,636,23.99,19.99,46022
5623,75884,AMERICAN RED,CANYON ROAD MERLOT - 750ML,750ML,192,7.59,,
5624,77136,TEQUILA,TEREMANA BLANCO TEQUILA 750ML,750ML,1656,33.99,,
5625,52116,AUSTRALIAN,YELLOW TAIL CAB - 750ML,750ML,2100,6.99,,
5626,71796,SESSION RTD,HIGH NOON SUN SIPS BLK CHERRY  - RTD - 6/4PK - 355ML (4-Pack),4pk,6024,10.99,,
5627,54513,SESSION RTD,JACK DANIELS & COKE VARIETY PACK -   6 PK - RTD - 355ML (4-Pack),4pk,1752,11.99,,
5628,82244,AMERICAN TABLE WINE,FRANZIA CHABLIS BIB - 5L (1 Bottle),5L,268,24.99,20.99,46022
5629,37093,MALT BASED SELTZER,WHITE CLAW VP 3  2/12PK 12.OZ CAN - 12.0Z (12-Pack),12pk,8256,21.99,,
5630,170249,STRAIGHT BOURBON WHISKEY,BROKEN BARREL SMALL BATCH BOURBON 750ML,750ML,0,34.99,,
