RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability
6603,72481,DOMESTIC LIQUOR SPECIALTY,OLE SMOKY SALTY CARAMEL - 750ML,750ML,0,27.99,,,46010,OutofStock
6604,234444,AMERICAN RED,MT BRAVE CAB - 750ML,750ML,0,128.99,,,46010,OutofStock
6605,170534,IMPORTED CORDIALS,LUXARDO ESPRESSO 750ML,750ML,0,21.99,,,46010,OutofStock
6606,369411,AMERICAN RED,LEESE FITCH MER - 750ML,750ML,0,14.99,,,46010,OutofStock
6607,89063,BLENDED WHISKEY,OLE SMOKY TENN COOKIE DOUGH WHISKEY - 750ML,750ML,0,27.99,,,46010,OutofStock
6608,42735,BLENDED WHISKEY,OLE SMOKY TENN PEANUT BUTTER WHISKEY - 750ML,750ML,0,27.99,,,46010,OutofStock
6609,51691,IMPORTED CORDIALS,DISARONNO AMARETTO 375ML,375ML,0,19.99,,,46010,OutofStock
6610,55545,SINGLE MALT SCOTCH,ARDBEG WEE BEASTIE - 750ML,750ML,0,48.99,,,46010,OutofStock
6611,247337,AMERICAN BLUSH,A TO Z ROSE - 750ML,750ML,0,18.99,,,46010,OutofStock
6612,237044,AUSTRALIAN,90+ CELLARS LOT 212 SHIRAZ - 750ML,750ML,0,11.99,,,46010,OutofStock
6613,375624,SPANISH/PORTUGUESE,MONTECASTRILLO ROBLE - 750ML,750ML,0,15.99,,,46010,OutofStock
6614,89179,BLENDED WHISKEY,OLE SMOKY TENN CINNAMON WHISKEY - 750ML,750ML,0,27.99,,,46010,OutofStock
6615,171672,IMPORTED CORDIALS,LUXARDO ESPRESSO 750ML,750ML,0,25.99,,,46010,OutofStock
6616,70749,TEQUILA,SAUZA HORNITOS TEQ - BLACK BARREL - 750ML,750ML,0,35.99,,,46010,OutofStock
6617,50131,TEQUILA,HORNITOS CRISTALINO 750 ML - 750ML,750ML,0,35.99,,,46010,OutofStock
6618,49659,IMPORTED CORDIALS,LUXARDO CHERRY LIQ - 750ML,750ML,0,25.99,,,46010,OutofStock
6619,315855,WHITE BORDEAUX WINE,PETIT GUIRAUD SAUTERNES - 375ML,375ML,0,29.99,,,46010,OutofStock
6620,310066,AMERICAN WHITE,LEESE FITCH S/BLC - 750ML,750ML,0,14.99,,,46010,OutofStock
6621,243174,ITALIAN RED WINE,DAL MASO MONTE BELVEDERE CAB - 750ML,750ML,0,23.99,,,46010,OutofStock
6622,21199,ITALIAN WHITE WINE,CAVIT P/GRIG - 375ML,375ML,0,8.99,,,46010,OutofStock
6623,342444,CHAMPAGNE,ARMAND DE BRIGNAC BRUT GOLD BTL ACE OF SPADES 750ML,750ML,0,311.99,,,46010,OutofStock
6624,244018,TEQUILA,TEQUILA OCHO REPOSADO - 750ML,750ML,0,51.99,,,46010,OutofStock
6625,171686,IMPORTED CORDIALS,LUXARDO CHERRY LIQ 750ML,750ML,0,25.99,,,46010,OutofStock
6626,74003,IMPORTED CORDIALS,DISARONNO AMARETTO 1L - 1LTR,1LTR,0,45.99,,,46010,OutofStock
6627,237902,BLENDED WHISKEY,OLE SMOKY SALTY WATERMELON WHISKEY - 750ML,750ML,0,27.99,,,46010,OutofStock
6628,341782,LOIRE VALLEY WINE,90+ CELLARS LOT 126 SANC - 750ML,750ML,0,31.99,,,46010,OutofStock
6629,297367,FRENCH RED WINE,PRESTIGE DE CALVET BORDEAUX MERLOT CABERNET SAUVIGNON 750ML,750ML,0,16.99,,,46010,OutofStock
6630,89756,SESSION RTD,GIN & JUICE COCKT APRICOT (DRE/SNOOP) 6/4PK - 355ML (4-Pack),4pk,0,12.99,,,46010,OutofStock
6631,54308,DOMESTIC CAN BEER,BEER FARM INTERDEPEDENCE IPA 2/12 CANS - 12.0Z (12-Pack),12pk,0,22.99,,,46010,OutofStock
6632,18984,DOMESTIC CAN BEER,BEER FARM FARM DOG 4/6 CAN - 12.0Z (6-Pack),6pk,0,12.99,,,46010,OutofStock
6633,402800,SPANISH/PORTUGUESE,TWIN VINES VINHO VERDE - 750ML,750ML,0,9.99,,,46010,OutofStock
6634,336724,DOMESTIC VODKA,ST GEORGE GREEEN CHILE VODKA - 750ML,750ML,0,26.99,,,46010,OutofStock
6635,305271,AMERICAN WHITE,PAUL HOBBS CROSSBARN CHARD - 750ML,750ML,0,34.99,,,46010,OutofStock
6636,15469,DOMESTIC CAN BEER,BEER FARM DEWPOINT 6.0 4/6 CANS - 12.0Z (6-Pack),6pk,0,12.99,,,46010,OutofStock
6637,15077,DOMESTIC CAN BEER,BEER FARM PHILSNER 4/6 CANS - 12.0Z (6-Pack),6pk,0,12.99,,,46010,OutofStock
6638,70766,BLENDED WHISKEY,JIM BEAM HONEY - 1.75L,1.75L,0,34.99,,,46010,OutofStock
6639,54309,DOMESTIC CAN BEER,BEER FARM POTOMAC CIDER DRY 6/4 CANS - 12.0Z (4-Pack),4pk,0,13.99,,,46010,OutofStock
6640,89762,SESSION RTD,GIN & JUICE COCKT MELON (DRE/SNOOP) 6/4PK - 355ML (4-Pack),4pk,0,12.99,,,46010,OutofStock
6641,89764,SESSION RTD,GIN & JUICE COCKT CITRUS (DRE/SNOOP) 6/4PK - 355ML (4-Pack),4pk,0,12.99,,,46010,OutofStock
6642,54311,DOMESTIC CAN BEER,BEER FARM POTOMAC CIDER BERRY  6/4 CANS - 12.0Z (4-Pack),4pk,0,13.99,,,46010,OutofStock
6643,15267,DOMESTIC CAN BEER,BEER FARM INTERPEDENCE IPA 4/6 CANS - 12.0Z (6-Pack),6pk,0,12.99,,,46010,OutofStock
6644,89758,SESSION RTD,GIN & JUICE COCKT PASSIONFRUIT (DRE/SNOOP) 6/4PK - 355ML (4-Pack),4pk,0,12.99,,,46010,OutofStock
6645,54243,DOMESTIC CAN BEER,BEER FARM HUGULKULTUR OCTOBERFEST 4/6 CAN - 12.0Z (6-Pack),6pk,0,12.99,,,46010,OutofStock
6646,54310,DOMESTIC CAN BEER,BEER FARM POTOMAC CIDER VANILLA CINNAMON 6/4 CANS - 12.0Z (4-Pack),4pk,0,13.99,,,46010,OutofStock
6647,313942,AMERICAN RED,HAZLITT RED CAT - 750ML,750ML,0,11.99,,,46010,OutofStock
6648,346120,AMERICAN BLUSH,ANGELS & COWBOYS ROSE 750ML,750ML,0,13.99,,,46010,OutofStock
6649,166881,NON-ALCOHOLIC MIXERS,Q MIXERS CLUB SODA 6/4PK - NA - 6.7Z (4-Pack),4pk,0,7.99,,,46010,OutofStock
6650,42095,AMERICAN RED,DUCKHORN PARADUXX NAPA VLY RED - 750ML,750ML,0,50.99,,,46010,OutofStock
6651,170152,TEQUILA,G4 REPOSADO DE MADERA DIA DE MUERTOS 750ML,750ML,0,394.99,,,46010,OutofStock
6652,171708,FRANCE-OTHER,LE GARENNE CHENIN BLANC 750ML,750ML,0,15.99,,,46010,OutofStock
6653,305919,ITALIAN WHITE WINE,ANNALISA P/GRIG - 750ML,750ML,0,10.99,,,46010,OutofStock
6654,312035,ARGENTINA,DOM BOUSQUET ROSE - 750ML,750ML,0,13.99,,,46010,OutofStock
6655,170932,MALT BASED SELTZER,HAPPY DAD HAPPY MOM RASPBERRY 2/12 CAN - 12.0Z (12-Pack),12pk,0,20.99,,,46010,OutofStock
6656,170929,MALT BASED SELTZER,HAPPY DAD ICED TEA VP 2/12 CAN - 12.0Z (12-Pack),12pk,0,22.99,,,46010,OutofStock
